host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
avian;52042592;"2011-11-30
2012-08-30
2012-11-29
2015-04-09
2015-06-23";MERIAL
avian;44288336;"2008-07-18
2009-07-14";TEXAS A & M UNIVERSITY
avian;46084641;"2012-03-22
2013-03-15";MERIAL
avian;928334;"2000-08-03
2001-08-01";LOHMANN ANIMAL HEALTH
avian;45015802;"2011-10-21
2012-10-19";MEDTRONIC INTERVET
avian;18859013;2007-02-02;pf 
avian;68769970;"2013-09-06
2014-09-05";CEVA SANTE ANIMALE
avian;4034164;"1998-12-14
1999-12-08";KAKETSUKEN
avian;43525810;"2003-05-06
2007-05-04";US DEPARTMENT OF AGRICULTURE
avian;81327346;2017-12-25;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;13913967;"2001-09-28
2004-04-27";ZEON
avian;62351;"1998-12-09
1999-11-19
2002-04-29";PFIZER
avian;78149462;"2016-06-17
2017-06-15";INTERVET INTERNATIONAL
avian;78149462;"2016-06-17
2017-06-15";MEDTRONIC INTERVET
avian;78512381;"2016-07-11
2017-07-11";ARKANSAS STATE UNIVERSITY
avian;68441989;"1999-05-05
1999-12-16
2002-03-06
2002-05-17
2003-05-19
2011-07-21
2013-07-23
2014-07-21";MIRADA MEDICAL
avian;6888705;"2008-08-08
2009-08-07";ZOETIS SERVICES
avian;5268701;2005-08-15;BEIJING ACADEMY OF AGRICULTURE & FORESTRY SCIENCES
avian;84202920;"2017-10-12
2018-09-11";INTERVET INTERNATIONAL
avian;84202920;"2017-10-12
2018-09-11";MEDTRONIC INTERVET
avian;1360268;"1998-04-29
1999-04-22";INSTITUTE ANIMAL HEALTH
avian;75360755;"2015-08-10
2016-08-04";TEXAS A & M UNIVERSITY
avian;44010059;2003-07-21;US DEPARTMENT OF AGRICULTURE
avian;15014971;"1998-09-14
1999-07-14
1999-09-14
2000-05-22
2000-07-14
2002-09-17
2008-09-23";MOUNT SINAI SCHOOL OF MEDICINE
avian;43555216;"2001-06-14
2005-05-11
2007-12-03";SCHERING PLOUGH ANIMAL HEALTH
avian;1446855;"1999-06-08
1999-11-30
2000-06-06";INNOVO BIOTECHNOLOGIES
avian;5365592;"2004-12-22
2005-12-21";INTERVET INTERNATIONAL
avian;14870297;"2003-12-30
2004-12-29";VIRUMAR PITUACH TARKIVIM
avian;55021499;"2011-03-02
2012-03-01";UTRECHT UNIVERSITY
avian;55021499;"2011-03-02
2012-03-01";MEDTRONIC INTERVET
avian;2459608;"2001-03-15
2002-03-11";AKZO NOBEL
avian;45015797;"2011-10-21
2012-10-19
2014-11-05";INTERVET INTERNATIONAL
avian;63771;"1998-06-19
1999-06-17
2000-12-19
2004-02-26
2004-04-15";STICHTING DIENST LANDBOUWKUNDIG ONDERZOEK
avian;77111137;2017-06-22;BEIJING BANGZHUO BIOLOGICAL SCIENCE & TECHNOLOGY
avian;44252443;"2001-06-14
2005-05-11
2007-12-03
2009-08-11";SCHERING PLOUGH ANIMAL HEALTH
avian;73752963;"2015-01-29
2016-01-29";CEVA SANTE ANIMALE
avian;7794126;2012-03-22;GUANGDONG DAHUANONG ANIMAL HEALTH PRODUCTS
avian;7794126;2012-03-22;ZHAOQING DAHUANONG BIOLOGIC PHARMACEUTICAL
avian;7794126;2012-03-22;BEIJING MICRO PACIFIC TEKTRONIX BIOLOGICAL TECHNOLOGY
avian;61781935;2013-11-13;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;1841066;"2008-01-30
2009-01-29";UNI AUT NOMA DE BARCELONA
avian;1425465;"1998-07-24
1999-07-13";AVANT IMMUNOTHERAPEUTICS
avian;76571795;"2003-09-03
2004-09-03";INTRALYTIX BALTIMORE
avian;62090556;2005-06-30;SHANGHAI JIAO TONG UNIVERSITY
avian;5140853;"2003-07-02
2004-07-02";US DEPARTMENT OF AGRICULTURE
avian;5140853;"2003-07-02
2004-07-02";BIOTECHNOLOGY RESEARCH & DEVELOPMENT
avian;61955123;2005-07-29;GUANGXI VETERINARY RESEARCH INSTITUTE
avian;38251875;2007-03-09;NATIONAL CHUNG HSING UNIVERSITY
avian;4932291;1998-08-05;pf 
avian;7349211;"2009-01-22
2010-01-22";UNIVERSITY OF GEORGIA
avian;1733351;"2002-07-13
2003-07-10
2005-07-29";UNIVERSITY OF GEORGIA RESEARCH FOUNDATION
