host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
suin;1677;21/09/2004;BOEHRINGER INGELHEIM VETMEDICA
suin;8261;25/02/2005;PFIZER
suin;8261;25/02/2005;ZOETIS SERVICES
suin;12614;22/12/1998;ZOETIS SERVICES
suin;12661;13/01/2005;BOEHRINGER INGELHEIM VETMEDICA
bovin;13401;"1999-08-19
2000-08-18
2002-06-17
2008-08-26";MINI FOR AGRICULTURE MINISTER FOR LAND & WATER CONSERVATION FOR & ON BEHALF OF THE STATE OF NEW
mult_sp;17690;"2001-04-26
2002-04-24
2002-04-26";US DEPARTMENT OF AGRICULTURE
bovin;18528;"1999-11-30
1999-12-14
2000-11-06";BOEHRINGER INGELHEIM VETMEDICA
bovin;19510;"2002-08-26
2003-08-14
2003-08-26
2007-08-30
2008-12-16
2010-06-22
2012-12-28";PFIZER
bovin;19510;"2002-08-26
2003-08-14
2003-08-26
2007-08-30
2008-12-16
2010-06-22
2012-12-28";ZOETIS SERVICES
avian;22584;"2000-02-29
2001-02-02
2001-02-15";WYETH
mult_sp;25374;"2005-04-01
2006-03-24
2006-03-28";WYETH
bovin;26013;"2003-07-14
2003-09-22
2004-07-14
2004-09-21";INTERNATIONAL LIVESTOCK RESEARCH INSTITUTE
suin;29397;01/12/2005;CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
suin;29397;01/12/2005;FORT DODGE VETERINARIA
avian_flu;30129;"2006-04-21
2007-04-18
2007-04-23";ST JUDE CHILDRENS RESEARCH HOSPITAL
avian_flu;30129;"2006-04-21
2007-04-18
2007-04-23";ZOETIS SERVICES
bovin;32283;"2003-04-21
2004-04-13
2007-03-15";ZOETIS SERVICES
mult_sp;32939;"2007-12-21
2008-04-07
2008-12-16
2010-06-18
2014-01-24
2016-08-03";US CENTERS FOR DISEASE CONTROL & PREVENTION (CDC)
avian;34095;"2003-05-05
2004-05-04
2006-06-08
2008-04-30";DOW AGROSCIENCES
avian;34095;"2003-05-05
2004-05-04
2006-06-08
2008-04-30";THOMPSON BOYCE PLANT RESEARCH
avian_flu;40963;"2006-02-28
2007-02-28";CENTRO DE INGENIERIA GENETICA & BIOTECHNOLOGICA
suin;40971;28/02/2006;CENTRO DE INGENIERIA GENETICA & BIOTECHNOLOGICA
suin;40971;28/02/2006;CENTRO NACIONAL DE SANIDAD AGROPECUARIA
mult_sp;47954;"2006-06-01
2007-05-30";MERIAL
mult_sp;47954;"2006-06-01
2007-05-30";UNIVERSITY OF CALIFORNIA
mult_sp;52237;"2006-08-02
2007-08-01";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
mult_sp;52237;"2006-08-02
2007-08-01";INSTITUTE NAC INVESTIGACION INIA
mult_sp;52237;"2006-08-02
2007-08-01";UNI POMPEU FABRA
avian;54564;"2004-03-12
2005-03-10
2007-06-08
2010-10-28";ZOETIS SERVICES
bovin;55631;"2006-09-22
2007-09-20";INTERVET INTERNATIONAL
bovin;55670;"2004-03-17
2005-03-04";PHARMACIA & UPJOHN
suin;57423;23/04/2004;ZOETIS SERVICES
bovin;58049;"2004-05-19
2004-07-20
2005-05-18
2005-05-19";BOEHRINGER INGELHEIM VETMEDICA
bovin;60018;"1998-11-10
1999-11-04
2000-08-29
2000-10-31
2002-04-29";PFIZER
suin;62331;08/03/1999;INTERVET INTERNATIONAL
avian;62351;"1998-12-09
1999-11-19
2002-04-29";PFIZER
avian;63771;"1998-06-19
1999-06-17
2000-12-19
2004-02-26
2004-04-15";STICHTING DIENST LANDBOUWKUNDIG ONDERZOEK
suin;63772;05/06/1998;BOEHRINGER INGELHEIM VETMEDICA
bovin;64311;"2001-09-06
2001-09-18
2002-09-05
2002-09-06
2006-09-20
2012-02-01";BOEHRINGER INGELHEIM VETMEDICA
suin;64861;12/01/2007;UNIVERSITY OF ILLINOIS
bovin;68377;"2008-06-25
2009-06-24";BOEHRINGER INGELHEIM VETMEDICA
avian_flu;69001;"2007-03-16
2008-03-14";WYETH
avian;73011;14/07/2010;NEO VIRNATECH
bovin;73158;31/08/2009;INSTITUTE NAC DE TECNOLOGIA AGROPECUARIA INTA
mult_sp;90251;"2009-04-24
2010-04-23";BOEHRINGER INGELHEIM VETMEDICA
mult_sp;100008;"2009-09-10
2010-09-09
2015-02-26";MERIAL
avian;108643;"2009-12-28
2010-12-28";MERIAL
avian;674279;"1999-03-05
2000-02-25
2000-02-28
2002-07-10";INTERVET INTERNATIONAL
avian;679669;"1999-07-27
2000-03-27
2000-07-21";INTERVET INTERNATIONAL
avian;711031;"2001-10-04
2002-10-02";CENTRUM VOOR ONDERZOEK DIERGENEESKUNDE EN AGROCHEMIE
mult_sp;729161;15/02/2001;INDIAN IMMUNOLOGICALS
mult_sp;729161;15/02/2001;INDIAN INSTITUTE OF SCIENCE
bovin;761007;"2001-05-03
2002-05-03";NOVARTIS
mult_sp;794583;"2000-04-28
2001-04-30
2009-11-16";TETRACORE
avian;803654;"2000-07-07
2001-03-22
2001-07-02";INTERVET INTERNATIONAL
bovin;810423;"2000-04-21
2001-04-17";INTERVET INTERNATIONAL
avian;822672;"2000-11-02
2001-10-30";INTERVET INTERNATIONAL
avian;844933;"2004-01-21
2005-01-21";CHIMERA PHARMA U
avian;844933;"2004-01-21
2005-01-21";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
mult_sp;902237;"2007-01-03
2007-09-20";ACADEMIA SINICA
mult_sp;906619;"2003-06-05
2004-06-04
2005-12-02";US DEPARTMENT OF HEALTH & HUMAN SERVICES
bovin;912755;"1999-01-08
1999-12-24
2001-09-13
2012-03-14";ZOETIS SERVICES
avian;919775;"2004-01-21
2005-01-21";CHIMERA PHARMA U
avian;919775;"2004-01-21
2005-01-21";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
suin;926391;19/05/2000;BOEHRINGER INGELHEIM VETMEDICA
avian;928334;"2000-08-03
2001-08-01";LOHMANN ANIMAL HEALTH
avian;937197;"2003-03-03
2004-03-03";INSTITUTE FOR ANIMAL HEALTH
avian;937197;"2003-03-03
2004-03-03";INTERVET INTERNATIONAL
suin;940169;25/04/2005;MERIAL
suin;951747;22/04/1999;BOEHRINGER INGELHEIM VETMEDICA
suin;951747;22/04/1999;US DEPARTMENT OF AGRICULTURE
suin;957147;31/12/2002;INSTITUTE BIOTECHNOLOGII I ANTYBIOT
avian;970665;"2003-03-24
2004-03-24";INTERVET INTERNATIONAL
avian;980712;"2005-07-15
2006-07-14";BIONOSTRA
avian;980712;"2005-07-15
2006-07-14";CSIC - CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
suin;1016107;10/04/2006;INTERVET INTERNATIONAL
mult_sp;1019519;07/05/2004;NOVARTIS
